================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 1000000
每次更新步数: 100
更新次数: 10000
图像尺寸: (128, 128)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 5,731,409 (可训练: 5,731,409)

开始训练...

Update 370/10000 | Step 37000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1660 | Value Loss: 0.0276 | SPS: 113 | ETA: 142.0min
Update 380/10000 | Step 38000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0089 | Value Loss: 0.1024 | SPS: 113 | ETA: 141.9min
Update 390/10000 | Step 39000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1752 | Value Loss: 0.1287 | SPS: 112 | ETA: 143.0min
Update 400/10000 | Step 40000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0098 | Value Loss: 0.0344 | SPS: 112 | ETA: 142.9min
  ✓ 保存检查点: checkpoints/ppo_visual_update_400.pt
Update 410/10000 | Step 41000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0035 | Value Loss: 0.1504 | SPS: 112 | ETA: 142.7min
Update 420/10000 | Step 42000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0299 | Value Loss: 0.1745 | SPS: 112 | ETA: 142.6min
Update 430/10000 | Step 43000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0389 | Value Loss: 0.2259 | SPS: 112 | ETA: 142.4min
Update 440/10000 | Step 44000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0676 | Value Loss: 0.1100 | SPS: 113 | ETA: 141.0min
Update 450/10000 | Step 45000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0501 | Value Loss: 0.0807 | SPS: 113 | ETA: 140.9min
Update 460/10000 | Step 46000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1025 | Value Loss: 0.1520 | SPS: 113 | ETA: 140.7min
Update 470/10000 | Step 47000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.1070 | Value Loss: 0.0685 | SPS: 113 | ETA: 140.6min
Update 480/10000 | Step 48000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.1744 | Value Loss: 0.0703 | SPS: 113 | ETA: 140.4min
Update 490/10000 | Step 49000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0555 | Value Loss: 0.0546 | SPS: 113 | ETA: 140.3min
Update 500/10000 | Step 50000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0764 | Value Loss: 0.1519 | SPS: 113 | ETA: 140.1min
  ✓ 保存检查点: checkpoints/ppo_visual_update_500.pt
Update 510/10000 | Step 51000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0433 | Value Loss: 0.0611 | SPS: 113 | ETA: 140.0min
Update 520/10000 | Step 52000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1215 | Value Loss: 0.1485 | SPS: 113 | ETA: 139.8min
Update 530/10000 | Step 53000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.1215 | Value Loss: 0.0295 | SPS: 113 | ETA: 139.7min
Update 540/10000 | Step 54000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1988 | Value Loss: 0.0197 | SPS: 113 | ETA: 139.5min
Update 550/10000 | Step 55000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0661 | Value Loss: 0.0267 | SPS: 113 | ETA: 139.4min
Update 560/10000 | Step 56000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0755 | Value Loss: 0.0765 | SPS: 113 | ETA: 139.2min
Update 570/10000 | Step 57000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.2504 | Value Loss: 0.1524 | SPS: 113 | ETA: 139.1min
Update 580/10000 | Step 58000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0183 | Value Loss: 0.0317 | SPS: 113 | ETA: 138.9min
