================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 10000000
每次更新步数: 200
更新次数: 50000
图像尺寸: (64, 64)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 936,625 (可训练: 936,625)

开始训练...

Update 370/50000 | Step 74000/10000000 | Mean Reward: 1.73 | Policy Loss: -0.0013 | Value Loss: 0.2541 | SPS: 172 | ETA: 961.8min
Update 380/50000 | Step 76000/10000000 | Mean Reward: 1.73 | Policy Loss: -0.0038 | Value Loss: 0.3249 | SPS: 173 | ETA: 956.1min
Update 390/50000 | Step 78000/10000000 | Mean Reward: 1.73 | Policy Loss: -0.0061 | Value Loss: 0.1505 | SPS: 173 | ETA: 955.9min
Update 400/50000 | Step 80000/10000000 | Mean Reward: 1.73 | Policy Loss: -0.0020 | Value Loss: 0.0970 | SPS: 172 | ETA: 961.2min
  ✓ 保存检查点: checkpoints/ppo_visual_update_400.pt
Update 410/50000 | Step 82000/10000000 | Mean Reward: 1.73 | Policy Loss: -0.0041 | Value Loss: 0.0442 | SPS: 172 | ETA: 961.0min
Update 420/50000 | Step 84000/10000000 | Mean Reward: 1.73 | Policy Loss: -0.0064 | Value Loss: 0.3457 | SPS: 173 | ETA: 955.3min
Update 430/50000 | Step 86000/10000000 | Mean Reward: 1.73 | Policy Loss: -0.0082 | Value Loss: 0.6043 | SPS: 173 | ETA: 955.1min
Update 440/50000 | Step 88000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0047 | Value Loss: 0.0953 | SPS: 172 | ETA: 960.5min
Update 450/50000 | Step 90000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0052 | Value Loss: 0.3310 | SPS: 172 | ETA: 960.3min
Update 460/50000 | Step 92000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0054 | Value Loss: 0.2678 | SPS: 172 | ETA: 960.1min
Update 470/50000 | Step 94000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0058 | Value Loss: 0.6945 | SPS: 172 | ETA: 959.9min
Update 480/50000 | Step 96000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0050 | Value Loss: 0.3203 | SPS: 172 | ETA: 959.7min
Update 490/50000 | Step 98000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0057 | Value Loss: 0.3369 | SPS: 172 | ETA: 959.5min
Update 500/50000 | Step 100000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0053 | Value Loss: 0.4410 | SPS: 172 | ETA: 959.3min
  ✓ 保存检查点: checkpoints/ppo_visual_update_500.pt
Update 510/50000 | Step 102000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0075 | Value Loss: 0.0743 | SPS: 172 | ETA: 959.1min
Update 520/50000 | Step 104000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0103 | Value Loss: 0.1519 | SPS: 172 | ETA: 958.9min
Update 530/50000 | Step 106000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0072 | Value Loss: 0.3153 | SPS: 173 | ETA: 953.2min
Update 540/50000 | Step 108000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0019 | Value Loss: 0.2267 | SPS: 173 | ETA: 953.0min
Update 550/50000 | Step 110000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0006 | Value Loss: 0.4325 | SPS: 172 | ETA: 958.3min
Update 560/50000 | Step 112000/10000000 | Mean Reward: 3.75 | Policy Loss: -0.0006 | Value Loss: 0.1316 | SPS: 172 | ETA: 958.1min
