================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 10000000
每次更新步数: 1000
更新次数: 10000
图像尺寸: (64, 64)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 936,625 (可训练: 936,625)

开始训练...

Update 370/10000 | Step 370000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0016 | Value Loss: 0.0029 | SPS: 173 | ETA: 927.7min
Update 380/10000 | Step 380000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0023 | Value Loss: 0.0063 | SPS: 173 | ETA: 926.8min
Update 390/10000 | Step 390000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0037 | Value Loss: 0.0023 | SPS: 174 | ETA: 920.5min
Update 400/10000 | Step 400000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0013 | Value Loss: 0.0043 | SPS: 174 | ETA: 919.5min
  ✓ 保存检查点: checkpoints/ppo_visual_update_400.pt
Update 410/10000 | Step 410000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0052 | Value Loss: 0.0065 | SPS: 174 | ETA: 918.6min
Update 420/10000 | Step 420000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0072 | Value Loss: 0.0031 | SPS: 174 | ETA: 917.6min
Update 430/10000 | Step 430000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0017 | Value Loss: 0.0062 | SPS: 174 | ETA: 916.7min
Update 440/10000 | Step 440000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0013 | Value Loss: 0.0051 | SPS: 174 | ETA: 915.7min
Update 450/10000 | Step 450000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0061 | Value Loss: 0.0050 | SPS: 174 | ETA: 914.8min
Update 460/10000 | Step 460000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0039 | Value Loss: 0.0003 | SPS: 174 | ETA: 913.8min
Update 470/10000 | Step 470000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0038 | Value Loss: 0.0018 | SPS: 174 | ETA: 912.8min
Update 480/10000 | Step 480000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0073 | Value Loss: 0.0045 | SPS: 174 | ETA: 911.9min
Update 490/10000 | Step 490000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0013 | Value Loss: 0.0010 | SPS: 174 | ETA: 910.9min
Update 500/10000 | Step 500000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0027 | Value Loss: 0.0075 | SPS: 174 | ETA: 910.0min
  ✓ 保存检查点: checkpoints/ppo_visual_update_500.pt
Update 510/10000 | Step 510000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0016 | Value Loss: 0.0053 | SPS: 174 | ETA: 909.0min
Update 520/10000 | Step 520000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0024 | Value Loss: 0.0005 | SPS: 174 | ETA: 908.0min
Update 530/10000 | Step 530000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0047 | Value Loss: 0.0005 | SPS: 174 | ETA: 907.1min
Update 540/10000 | Step 540000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0059 | Value Loss: 0.0044 | SPS: 174 | ETA: 906.1min
Update 550/10000 | Step 550000/10000000 | Mean Reward: 0.00 | Policy Loss: 0.0002 | Value Loss: 0.0013 | SPS: 174 | ETA: 905.2min
Update 560/10000 | Step 560000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0023 | Value Loss: 0.0016 | SPS: 174 | ETA: 904.2min
Update 570/10000 | Step 570000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0030 | Value Loss: 0.0029 | SPS: 174 | ETA: 903.3min
Update 580/10000 | Step 580000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0030 | Value Loss: 0.0010 | SPS: 174 | ETA: 902.3min
Update 590/10000 | Step 590000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0074 | Value Loss: 0.0008 | SPS: 174 | ETA: 901.3min
Update 600/10000 | Step 600000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0014 | Value Loss: 0.0005 | SPS: 174 | ETA: 900.4min
  ✓ 保存检查点: checkpoints/ppo_visual_update_600.pt
Update 610/10000 | Step 610000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0018 | Value Loss: 0.0057 | SPS: 174 | ETA: 899.4min
Update 620/10000 | Step 620000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0046 | Value Loss: 0.0042 | SPS: 174 | ETA: 898.5min
Update 630/10000 | Step 630000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0086 | Value Loss: 0.0007 | SPS: 175 | ETA: 892.4min
Update 640/10000 | Step 640000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0062 | Value Loss: 0.0093 | SPS: 175 | ETA: 891.4min
Update 650/10000 | Step 650000/10000000 | Mean Reward: 7.04 | Policy Loss: -0.0023 | Value Loss: 0.0064 | SPS: 175 | ETA: 890.5min
Update 660/10000 | Step 660000/10000000 | Mean Reward: 7.04 | Policy Loss: 0.0006 | Value Loss: 0.0014 | SPS: 175 | ETA: 889.5min
Update 670/10000 | Step 670000/10000000 | Mean Reward: 7.04 | Policy Loss: -0.0023 | Value Loss: 0.0068 | SPS: 175 | ETA: 888.6min
Update 680/10000 | Step 680000/10000000 | Mean Reward: 7.04 | Policy Loss: -0.0013 | Value Loss: 0.0070 | SPS: 175 | ETA: 887.6min
Update 690/10000 | Step 690000/10000000 | Mean Reward: 7.04 | Policy Loss: -0.0018 | Value Loss: 0.1142 | SPS: 175 | ETA: 886.7min
Update 700/10000 | Step 700000/10000000 | Mean Reward: 7.04 | Policy Loss: -0.0044 | Value Loss: 0.0025 | SPS: 175 | ETA: 885.7min
  ✓ 保存检查点: checkpoints/ppo_visual_update_700.pt
Update 710/10000 | Step 710000/10000000 | Mean Reward: 7.04 | Policy Loss: -0.0058 | Value Loss: 0.0005 | SPS: 175 | ETA: 884.8min
Update 720/10000 | Step 720000/10000000 | Mean Reward: 7.04 | Policy Loss: -0.0019 | Value Loss: 0.0028 | SPS: 175 | ETA: 883.8min
Update 730/10000 | Step 730000/10000000 | Mean Reward: 7.04 | Policy Loss: -0.0020 | Value Loss: 0.0039 | SPS: 175 | ETA: 882.9min
Update 740/10000 | Step 740000/10000000 | Mean Reward: 7.04 | Policy Loss: -0.0050 | Value Loss: 0.0010 | SPS: 175 | ETA: 881.9min
Update 750/10000 | Step 750000/10000000 | Mean Reward: 4.55 | Policy Loss: -0.0036 | Value Loss: 0.0031 | SPS: 175 | ETA: 881.0min
Update 760/10000 | Step 760000/10000000 | Mean Reward: 4.55 | Policy Loss: -0.0019 | Value Loss: 0.0012 | SPS: 175 | ETA: 880.0min
Update 770/10000 | Step 770000/10000000 | Mean Reward: 4.55 | Policy Loss: -0.0086 | Value Loss: 0.0039 | SPS: 175 | ETA: 879.0min
Update 780/10000 | Step 780000/10000000 | Mean Reward: 4.55 | Policy Loss: -0.0004 | Value Loss: 0.0014 | SPS: 175 | ETA: 878.1min
Update 790/10000 | Step 790000/10000000 | Mean Reward: 4.55 | Policy Loss: -0.0069 | Value Loss: 0.0010 | SPS: 176 | ETA: 872.2min
Update 800/10000 | Step 800000/10000000 | Mean Reward: 4.55 | Policy Loss: -0.0056 | Value Loss: 0.0046 | SPS: 176 | ETA: 871.2min
  ✓ 保存检查点: checkpoints/ppo_visual_update_800.pt
Update 810/10000 | Step 810000/10000000 | Mean Reward: 4.55 | Policy Loss: -0.0020 | Value Loss: 0.0007 | SPS: 176 | ETA: 870.3min
Update 820/10000 | Step 820000/10000000 | Mean Reward: 4.55 | Policy Loss: -0.0018 | Value Loss: 0.0004 | SPS: 176 | ETA: 869.3min
Update 830/10000 | Step 830000/10000000 | Mean Reward: 4.55 | Policy Loss: -0.0051 | Value Loss: 0.0049 | SPS: 176 | ETA: 868.4min
Update 840/10000 | Step 840000/10000000 | Mean Reward: 4.55 | Policy Loss: -0.0082 | Value Loss: 0.0035 | SPS: 176 | ETA: 867.4min
Update 850/10000 | Step 850000/10000000 | Mean Reward: 4.55 | Policy Loss: 0.0019 | Value Loss: 0.0022 | SPS: 176 | ETA: 866.5min
Update 860/10000 | Step 860000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0057 | Value Loss: 0.0036 | SPS: 176 | ETA: 865.5min
Update 870/10000 | Step 870000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0054 | Value Loss: 0.0004 | SPS: 176 | ETA: 864.6min
Update 880/10000 | Step 880000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0034 | Value Loss: 0.0023 | SPS: 176 | ETA: 863.6min
Update 890/10000 | Step 890000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0013 | Value Loss: 0.0038 | SPS: 176 | ETA: 862.7min
Update 900/10000 | Step 900000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0002 | Value Loss: 0.0024 | SPS: 176 | ETA: 861.7min
  ✓ 保存检查点: checkpoints/ppo_visual_update_900.pt
Update 910/10000 | Step 910000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0045 | Value Loss: 0.0015 | SPS: 176 | ETA: 860.8min
Update 920/10000 | Step 920000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0020 | Value Loss: 0.0022 | SPS: 176 | ETA: 859.8min
Update 930/10000 | Step 930000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0003 | Value Loss: 0.0015 | SPS: 176 | ETA: 858.9min
Update 940/10000 | Step 940000/10000000 | Mean Reward: 3.80 | Policy Loss: -0.0076 | Value Loss: 0.0023 | SPS: 176 | ETA: 858.0min
